DATE,revenue,tv_S,ooh_S,print_S,facebook_I,search_clicks_P,search_S,competitor_sales_B,facebook_S
2015-11-23,2754371.667,167687.6,0,95463.66667,72903852.71,0,0,8125009,228213.9874
2015-11-30,2584276.667,214600.9,0,0,16581099.55,29511.71546,31000,7901549,34258.57351
2015-12-07,2547386.667,0,248022,3404,49954773.67,36132.35896,28400,8300197,127691.2613
2015-12-14,2875220,625877.3,0,132600,31649297.03,36804.21096,31900,8122883,84014.72031
2015-12-21,2215953.333,0,520005,0,8802269.479,28401.74407,27100,7105985,20687.47816
2015-12-28,2569921.667,249189.8,0,239417.3333,49902081.11,38061.77591,28300,7097237,160110.1552
2016-01-04,2171506.667,5152.9,425163,0,41147695.82,36289.51378,27800,6974368,108690.367
2016-01-11,2464131.667,22141.7,0,176859.6667,56554690.6,34765.10899,32000,7452174,123894.4846
2016-01-18,2012520,0,0,0,35730563.64,28023.4815,22900,6703566,108690.367
2016-01-25,1738911.667,0,0,84329.33333,31861260.55,21069.73925,22900,5535394,90080.71755
2016-02-01,1772306.667,123838.7,79645,0,0,28023.9773,20600,5480098,0
2016-02-08,1809058.333,0,0,35726.66667,34249657.55,21323.33197,20200,5872523,106931.4659
2016-02-15,1952740,497073.3,0,18363,15189759.02,0,0,5822926,43457.93221
2016-02-22,1507805,0,0,0,0,0,0,5027123,0
2016-02-29,1510391.667,311672.2,0,0,32458460.73,16067.67012,17200,4561518,72467.89212
2016-03-07,1588840,0,0,123795.6667,0,28877.38417,21200,4996211,0
2016-03-14,1605990,148293.3,82489,0,0,17065.23476,17800,4938630,0
2016-03-21,1356010,0,0,0,0,21110.45735,17200,4520383,0
2016-03-28,2103936.667,0,123916,101845.6667,80241679.46,18271.14539,19000,4506918,194131.4522
2016-04-04,1120835,0,0,0,3439178.323,13909.65659,14300,3738504,625.1193421
2016-04-11,1141140,0,124526,0,0,13329.7719,14000,3768926,0
2016-04-18,1166880,83450.5,0,0,28249364.1,17090.72333,13400,3663385,70460.6356
